Wavelength,Absorbance
900,0.0001
905,0.0001
909,0.0001
913,0.0001
917,0.0001
921,0.0001
925,0.0001
929,0.0001
933,0.0001
937,0.0001
940,0.0001
944,0.0001
948,0.0001
953,0.0001
957,0.0001
961,0.0001
965,0.0001
969,0.0001
973,0.0001
976,0.0001
980,0.0001
984,0.0001
988,0.0
992,0.0
997,0.0
1001,0.0
1004,-0.0
1008,-0.0
1012,-0.0
1016,-0.0
1020,-0.0
1023,-0.0
1027,-0.0
1031,-0.0
1035,-0.0
1040,-0.0
1044,-0.0
1047,-0.0
1051,-0.0
1055,-0.0
1059,-0.0
1062,-0.0
1066,-0.0
1070,-0.0
1074,-0.0
1077,-0.0
1081,-0.0
1086,-0.0001
1090,-0.0001
1093,-0.0001
1097,-0.0001
1101,-0.0001
1104,-0.0001
1108,-0.0001
1112,-0.0001
1115,-0.0
1119,-0.0
1123,-0.0
1128,-0.0
1131,0.0
1135,0.0
1139,0.0
1142,0.0
1146,0.0001
1150,0.0001
1153,0.0001
1157,0.0001
1161,0.0001
1164,0.0001
1169,0.0001
1173,0.0001
1176,0.0001
1180,0.0001
1183,0.0001
1187,0.0001
1191,0.0
1194,0.0
1198,0.0
1201,0.0
1205,0.0
1208,-0.0
1213,-0.0
1217,-0.0
1220,-0.0
1224,-0.0
1227,-0.0
1231,-0.0
1235,-0.0
1238,-0.0
1242,-0.0
1245,-0.0
1249,-0.0001
1253,-0.0001
1257,-0.0
1260,-0.0
1264,-0.0
1267,-0.0
1271,-0.0
1274,-0.0
1278,0.0
1281,0.0
1285,0.0
1288,0.0
1293,0.0
1296,0.0
1300,0.0001
1303,0.0001
1307,0.0001
1310,0.0001
1314,0.0001
1317,0.0001
1321,0.0001
1324,0.0001
1327,0.0001
1331,0.0001
1335,0.0001
1339,0.0001
1342,0.0001
1346,0.0002
1349,0.0002
1352,0.0002
1356,0.0002
1359,0.0002
1363,0.0001
1366,0.0001
1369,0.0001
1374,0.0
1377,-0.0
1381,-0.0001
1384,-0.0001
1387,-0.0001
1391,-0.0002
1394,-0.0002
1397,-0.0002
1401,-0.0002
1404,-0.0002
1407,-0.0002
1411,-0.0002
1415,-0.0002
1418,-0.0002
1422,-0.0002
1425,-0.0001
1428,-0.0001
1432,-0.0001
1435,-0.0
1438,0.0
1441,0.0001
1445,0.0001
1448,0.0001
1452,0.0001
1456,0.0001
1459,0.0001
1462,0.0001
1465,0.0001
1469,0.0001
1472,0.0001
1475,0.0001
1478,0.0001
1482,0.0001
1485,0.0001
1489,0.0001
1492,0.0
1495,0.0
1499,-0.0
1502,-0.0
1505,-0.0001
1508,-0.0001
1511,-0.0001
1515,-0.0002
1518,-0.0002
1521,-0.0002
1524,-0.0002
1528,-0.0002
1532,-0.0002
1535,-0.0002
1538,-0.0002
1541,-0.0001
1544,-0.0001
1547,-0.0001
1550,-0.0001
1554,-0.0001
1557,-0.0
1560,-0.0
1564,0.0
1567,0.0
1570,0.0
1573,0.0001
1576,0.0
1580,0.0
1583,0.0
1586,0.0
1589,0.0
1592,0.0
1595,0.0
1599,0.0
1602,0.0
1605,0.0
1608,0.0
1611,0.0
1614,0.0
1617,0.0
1621,-0.0
1624,-0.0
1627,-0.0001
1630,-0.0001
1633,-0.0001
1637,-0.0001
1640,-0.0001
1643,-0.0001
1646,-0.0001
1649,-0.0001
1652,-0.0001
1655,-0.0001
1658,-0.0001
1661,-0.0001
1664,-0.0001
1667,-0.0001
1671,-0.0001
1674,-0.0001
1677,-0.0001
1679,-0.0001
1682,-0.0001
1685,-0.0001
1688,-0.0001
1691,-0.0001
1694,-0.0001
1697,-0.0001
1700,-0.0001
